iter	Passed	Remaining
824	902	191
825	903	190
826	905	189
827	906	188
828	907	187
829	908	186
830	909	185
831	910	183
832	912	182
833	914	182
834	915	180
835	916	179
836	917	178
837	919	177
838	920	176
839	921	175
840	922	174
841	923	173
842	924	172
843	926	171
844	928	170
845	929	169
846	930	168
847	931	167
848	933	165
849	934	164
850	935	163
851	936	162
852	937	161
853	938	160
854	940	159
855	941	158
856	942	157
857	943	156
858	944	155
859	945	153
860	947	152
861	948	151
862	949	150
863	951	149
864	952	148
865	953	147
866	954	146
867	955	145
868	956	144
869	957	143
870	958	142
871	960	140
872	961	139
873	962	138
874	963	137
875	964	136
876	965	135
877	966	134
878	967	133
879	969	132
880	970	131
881	971	129
882	972	128
883	973	127
884	974	126
885	975	125
886	976	124
887	977	123
888	979	122
889	979	121
890	980	119
891	981	118
892	983	117
893	984	116
894	985	115
895	986	114
896	987	113
897	988	112
898	990	111
899	991	110
900	993	109
901	995	108
902	998	107
903	1001	106
904	1002	105
905	1003	104
906	1006	103
907	1009	102
908	1010	101
909	1012	100
910	1013	99
911	1014	97
912	1016	96
913	1017	95
914	1018	94
915	1020	93
916	1021	92
917	1023	91
918	1024	90
919	1026	89
920	1028	88
921	1029	87
922	1032	86
923	1041	85
924	1046	84
925	1051	83
926	1053	82
927	1055	81
928	1056	80
929	1058	79
930	1060	78
931	1061	77
932	1062	76
933	1064	75
934	1066	74
935	1068	73
936	1069	71
937	1071	70
938	1072	69
939	1074	68
940	1075	67
941	1076	66
942	1077	65
943	1079	64
944	1081	62
945	1083	61
946	1085	60
947	1088	59
948	1089	58
949	1090	57
950	1092	56
951	1093	55
952	1095	54
953	1096	52
954	1098	51
955	1099	50
956	1100	49
957	1102	48
958	1103	47
959	1104	46
960	1106	44
961	1107	43
962	1108	42
963	1110	41
964	1112	40
965	1115	39
966	1117	38
967	1119	36
968	1119	35
969	1120	34
970	1122	33
971	1123	32
972	1124	31
973	1125	30
974	1126	28
975	1128	27
976	1129	26
977	1130	25
978	1132	24
979	1133	23
980	1134	21
981	1135	20
982	1136	19
983	1138	18
984	1139	17
985	1140	16
986	1141	15
987	1143	13
988	1144	12
989	1146	11
990	1147	10
991	1148	9
992	1150	8
993	1151	6
994	1153	5
995	1154	4
996	1155	3
997	1156	2
998	1159	1
999	1161	0
